Country or region,continent,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,Europe,1,7.769,1.340,1.587,0.986,0.596,0.153,0.393
Denmark,Europe,2,7.600,1.383,1.573,0.996,0.592,0.252,0.410
Norway,Europe,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,Europe,4,7.494,1.380,1.624,1.026,0.591,0.354,0.118
Netherlands,Europe,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,Europe,6,7.480,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,Europe,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,Oceania/Australia,8,7.307,1.303,1.557,1.026,0.585,0.330,0.380
Canada,North America,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,Europe,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,Oceania/Australia,11,7.228,1.372,1.548,1.036,0.557,0.332,0.290
Costa Rica,North America,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,Asia,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,Europe,14,7.090,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,Europe,15,7.054,1.333,1.538,0.996,0.450,0.348,0.278
Germany,Europe,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,Europe,18,6.923,1.356,1.504,0.986,0.473,0.160,0.210
United States of America,North America,19,6.892,1.433,1.457,0.874,0.454,0.280,0.128
Czech Republic,Europe,20,6.852,1.269,1.487,0.920,0.457,0.046,0.036
United Arab Emirates,Asia,21,6.825,1.503,1.310,0.825,0.598,0.262,0.182
Malta,Europe,22,6.726,1.300,1.520,0.999,0.564,0.375,0.151
Mexico,North America,23,6.595,1.070,1.323,0.861,0.433,0.074,0.073
France,Europe,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan,Asia,25,6.446,1.368,1.430,0.914,0.351,0.242,0.097
Chile,South America,26,6.444,1.159,1.369,0.920,0.357,0.187,0.056
Guatemala,North America,27,6.436,0.800,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,Asia,28,6.375,1.403,1.357,0.795,0.439,0.080,0.132
Qatar,Asia,29,6.374,1.684,1.313,0.871,0.555,0.220,0.167
Spain,Europe,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,North America,31,6.321,1.149,1.442,0.910,0.516,0.109,0.054
Brazil,South America,32,6.300,1.004,1.439,0.802,0.390,0.099,0.086
Uruguay,South America,33,6.293,1.124,1.465,0.891,0.523,0.127,0.150
Singapore,Asia,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,North America,35,6.253,0.794,1.242,0.789,0.430,0.093,0.074
Italy,Europe,36,6.223,1.294,1.488,1.039,0.231,0.158,0.030
Bahrain,Asia,37,6.199,1.362,1.368,0.871,0.536,0.255,0.110
Slovakia,Europe,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Poland,Europe,40,6.182,1.206,1.438,0.884,0.483,0.117,0.050
Uzbekistan,Asia,41,6.174,0.745,1.529,0.756,0.631,0.322,0.240
Lithuania,Europe,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,South America,43,6.125,0.985,1.410,0.841,0.470,0.099,0.034
Slovenia,Europe,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,North America,45,6.105,0.694,1.325,0.835,0.435,0.200,0.127
Kosovo,Europe,46,6.100,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,South America,47,6.086,1.092,1.432,0.881,0.471,0.066,0.050
Romania,Europe,48,6.070,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,Europe,49,6.046,1.263,1.223,1.042,0.406,0.190,0.041
Ecuador,South America,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,Asia,51,6.011,1.050,1.409,0.828,0.557,0.359,0.028
Thailand,Asia,52,6.008,1.050,1.409,0.828,0.557,0.359,0.028
Latvia,Europe,53,5.940,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,Asia,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,Europe,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,North America,56,5.890,0.831,1.478,0.831,0.490,0.107,0.028
Mauritius,Africa,57,5.888,1.120,1.402,0.798,0.498,0.215,0.060
Japan,Asia,58,5.886,1.327,1.419,1.088,0.445,0.069,0.140
Honduras,North America,59,5.860,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,Asia,60,5.809,1.173,1.508,0.729,0.410,0.146,0.096
Bolivia,South America,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,Europe,62,5.758,1.201,1.410,0.828,0.199,0.081,0.020
Paraguay,South America,63,5.743,0.855,1.475,0.777,0.514,0.184,0.080
Peru,South America,65,5.697,0.960,1.274,0.854,0.455,0.083,0.027
Portugal,Europe,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,Asia,67,5.653,0.677,0.886,0.535,0.313,0.220,0.098
Russia,Europe,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Russia,Asia,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,Asia,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
